municipio,uf,ng
Tapiratiba,SP,14
Tapiraí,SP,20
Taquaral,SP,14
Taquaritinga,SP,18
Taquarituba,SP,12
Taquarivaí,SP,18
Tarabai,SP,18
Tarumã,SP,16
Tatuí,SP,18
Taubaté,SP,20
Tejupá,SP,12
Teodoro Sampaio,SP,22
Terra Roxa,SP,14
Tietê,SP,18
Timburi,SP,12
Torre de Pedra,SP,16
Torrinha,SP,14
Trabiju,SP,16
Tremembé,SP,18
Três Fronteiras,SP,16
Tuiuti,SP,14
Tupi Paulista,SP,18
Tupã,SP,14
Turiúba,SP,10
Turmalina,SP,14
Ubarana,SP,12
Ubatuba,SP,16
Ubirajara,SP,16
Uchoa,SP,16
União Paulista,SP,10
Uru,SP,12
Urupês,SP,16
Urânia,SP,14
Valentim Gentil,SP,14
Valinhos,SP,16
Valparaíso,SP,14
Vargem,SP,16
Vargem Grande Paulista,SP,16
Vargem Grande do Sul,SP,14
Vera Cruz,SP,16
Vinhedo,SP,16
Viradouro,SP,14
Vista Alegre do Alto,SP,16
Vitória Brasil,SP,12
Votorantim,SP,16
Votuporanga,SP,14
Várzea Paulista,SP,16
Zacarias,SP,10
Águas da Prata,SP,14
Águas de Lindoia,SP,14
Águas de Santa Bárbara,SP,14
Águas de São Pedro,SP,16
Álvares Florence,SP,14
Álvares Machado,SP,16
Álvaro de Carvalho,SP,14
Óleo,SP,14
Abreulândia,TO,28
Aguiarnópolis,TO,12
Aliança do Tocantins,TO,22
Almas,TO,26
Alvorada,TO,20
Ananás,TO,14
Angico,TO,14
Aparecida do Rio Negro,TO,22
Aragominas,TO,18
Araguacema,TO,24
Araguanã,TO,18
Araguatins,TO,14
Araguaçu,TO,18
Araguaína,TO,20
Arapoema,TO,22
Arraias,TO,14
Augustinópolis,TO,14
Aurora do Tocantins,TO,18
Axixá do Tocantins,TO,12
Babaçulândia,TO,18
Bandeirantes do Tocantins,TO,22
Barra do Ouro,TO,14
Barrolândia,TO,26
Bernardo Sayão,TO,22
Bom Jesus do Tocantins,TO,22
Brasilândia do Tocantins,TO,22
Brejinho de Nazaré,TO,24
Buriti do Tocantins,TO,14
Cachoeirinha,TO,10
Campos Lindos,TO,20
Cariri do Tocantins,TO,22
Carmolândia,TO,16
Carrasco Bonito,TO,14
Caseara,TO,24
Centenário,TO,22
Chapada da Natividade,TO,22
Chapada de Areia,TO,22
Colinas do Tocantins,TO,22
Colmeia,TO,24
Combinado,TO,14
Conceição do Tocantins,TO,22
Couto Magalhães,TO,24
Cristalândia,TO,22
Crixás do Tocantins,TO,28
Darcinópolis,TO,16
Dianópolis,TO,26
Divinópolis do Tocantins,TO,28
Dois Irmãos do Tocantins,TO,28
Dueré,TO,24
Esperantina,TO,14
Figueirópolis,TO,24
Filadélfia,TO,18
Formoso do Araguaia,TO,20
Fátima,TO,24
Goianorte,TO,24
Goiatins,TO,22
Guaraí,TO,22
Gurupi,TO,22
Ipueiras,TO,22
Itacajá,TO,22
Itaguatins,TO,14
Itapiratins,TO,22
Itaporã do Tocantins,TO,22
Jaú do Tocantins,TO,18
Juarina,TO,22
Lagoa da Confusão,TO,24
Lagoa do Tocantins,TO,22
Lajeado,TO,22
Lavandeira,TO,16
Lizarda,TO,22
Luzinópolis,TO,10
Marianópolis do Tocantins,TO,26
Mateiros,TO,24
Maurilândia do Tocantins,TO,14
Miracema do Tocantins,TO,24
Miranorte,TO,24
Monte Santo do Tocantins,TO,24
Monte do Carmo,TO,26
Muricilândia,TO,18
Natividade,TO,22
Nazaré,TO,10
Nova Olinda,TO,16
Nova Rosalândia,TO,24
Novo Acordo,TO,20
Novo Alegre,TO,14
Novo Jardim,TO,26
Oliveira de Fátima,TO,24
Palmas,TO,26
Palmeirante,TO,20
Palmeiras do Tocantins,TO,12
Palmeirópolis,TO,16
Paranã,TO,16
Paraíso do Tocantins,TO,24
Pau D’Arco,TO,22
Pedro Afonso,TO,20
Peixe,TO,22
Pequizeiro,TO,24
Pindorama do Tocantins,TO,24
Piraquê,TO,16
Pium,TO,22
Ponte Alta do Bom Jesus,TO,24
Ponte Alta do Tocantins,TO,24
Porto Alegre do Tocantins,TO,26
Porto Nacional,TO,26
Praia Norte,TO,12
Presidente Kennedy,TO,22
Pugmil,TO,24
Recursolândia,TO,22
Riachinho,TO,14
Rio Sono,TO,20
Rio da Conceição,TO,26
Rio dos Bois,TO,22
Sampaio,TO,14
Sandolândia,TO,16
Santa Fé do Araguaia,TO,16
Santa Maria do Tocantins,TO,22
Santa Rita do Tocantins,TO,28
Santa Rosa do Tocantins,TO,22
Santa Tereza do Tocantins,TO,20
Santa Terezinha do Tocantins,TO,12
Silvanópolis,TO,22
Sucupira,TO,24
São Bento do Tocantins,TO,10
São Félix do Tocantins,TO,20
São Miguel do Tocantins,TO,14
São Salvador do Tocantins,TO,16
São Sebastião do Tocantins,TO,14
São Valério,TO,18
Sítio Novo do Tocantins,TO,14
Tabocão,TO,22
Taguatinga,TO,18
Taipas do Tocantins,TO,24
Talismã,TO,18
Tocantinópolis,TO,12
Tocantínia,TO,22
Tupirama,TO,16
Tupiratins,TO,20
Wanderlândia,TO,16
Xambioá,TO,16
